NUM,SEQ,IR,RED,X,Y,Z
1,26179,123053,91911,-0.2,-0.55,0.8
1,26180,123093,91927,-0.2,-0.55,0.81
1,26181,123197,92011,-0.19,-0.55,0.81
1,26182,123323,91998,-0.2,-0.54,0.8
1,26183,123375,91999,-0.2,-0.55,0.81
1,26184,123422,92057,-0.2,-0.55,0.8
1,26185,123580,92079,-0.2,-0.55,0.81
1,26186,123551,91996,-0.19,-0.54,0.81
1,26187,122748,91754,-0.19,-0.55,0.81
1,26188,122428,91714,-0.2,-0.55,0.81
1,26189,122428,91685,-0.2,-0.55,0.81
1,26190,122346,91690,-0.2,-0.54,0.81
1,26191,122353,91690,-0.2,-0.55,0.81
1,26192,122344,91715,-0.19,-0.55,0.8
1,26193,122414,91766,-0.2,-0.55,0.81
1,26194,122516,91755,-0.19,-0.54,0.81
1,26195,122487,91744,-0.19,-0.54,0.81
1,26196,122484,91713,-0.19,-0.55,0.81
1,26197,122493,91774,-0.19,-0.55,0.81
1,26198,122617,91757,-0.19,-0.54,0.81
1,26199,122679,91805,-0.2,-0.55,0.81
1,26200,122880,91902,-0.19,-0.54,0.8
1,26201,122992,91941,-0.19,-0.54,0.8
1,26202,123089,91916,-0.2,-0.55,0.8
1,26203,123110,91958,-0.2,-0.54,0.8
1,26204,123270,91952,-0.2,-0.55,0.8
1,26205,123311,92036,-0.19,-0.55,0.81
1,26206,123455,91979,-0.2,-0.54,0.81
1,26207,122814,91740,-0.19,-0.55,0.81
1,26208,122352,91687,-0.19,-0.55,0.81
1,26209,122353,91672,-0.2,-0.55,0.8
1,26210,122321,91716,-0.19,-0.54,0.81
1,26211,122336,91654,-0.2,-0.55,0.8
1,26212,122283,91715,-0.19,-0.55,0.8
1,26213,122429,91764,-0.2,-0.55,0.81
1,26214,122441,91750,-0.2,-0.54,0.81
1,26215,122508,91775,-0.19,-0.54,0.81
1,26216,122576,91768,-0.2,-0.54,0.8
1,26217,122603,91786,-0.2,-0.54,0.8
1,26218,122691,91829,-0.2,-0.54,0.81
1,26219,122818,91820,-0.2,-0.54,0.8
1,26220,122867,91882,-0.2,-0.55,0.8
1,26221,122993,91899,-0.2,-0.55,0.8
1,26222,123086,91909,-0.2,-0.55,0.81
1,26223,123128,91968,-0.2,-0.54,0.8
1,26224,123240,91964,-0.2,-0.55,0.81
1,26225,123341,92026,-0.2,-0.55,0.81
1,26226,123487,92053,-0.2,-0.55,0.8
1,26227,123582,92094,-0.19,-0.55,0.8
1,26228,123705,92135,-0.2,-0.54,0.81
1,26229,123427,91873,-0.2,-0.54,0.8
1,26230,122564,91746,-0.2,-0.55,0.81
1,26231,122420,91706,-0.2,-0.54,0.81
1,26232,122446,91735,-0.2,-0.54,0.81
1,26233,122437,91726,-0.19,-0.54,0.81
1,26234,122396,91756,-0.2,-0.55,0.81
1,26235,122439,91750,-0.2,-0.55,0.8
1,26236,122542,91820,-0.2,-0.55,0.81
1,26237,122631,91774,-0.2,-0.55,0.81
1,26238,122584,91818,-0.2,-0.55,0.81
1,26239,122609,91817,-0.2,-0.55,0.81
1,26240,122733,91809,-0.2,-0.54,0.81
1,26241,122762,91885,-0.2,-0.54,0.81
1,26242,122922,91851,-0.19,-0.54,0.81
1,26243,122959,91922,-0.2,-0.55,0.81
1,26244,123061,91978,-0.2,-0.54,0.8
1,26245,123150,91980,-0.21,-0.54,0.8
1,26246,123236,91962,-0.21,-0.55,0.81
1,26247,123307,92003,-0.2,-0.55,0.81
1,26248,123390,92030,-0.2,-0.54,0.81
1,26249,123451,92092,-0.2,-0.55,0.81
1,26250,122606,91805,-0.2,-0.55,0.81
1,26251,122656,91803,-0.2,-0.54,0.8
1,26252,122775,91800,-0.2,-0.54,0.81
1,26253,122844,91853,-0.2,-0.54,0.81
1,26254,122986,91890,-0.2,-0.54,0.81
1,26255,122755,91710,-0.2,-0.54,0.8
1,26256,122136,91605,-0.19,-0.55,0.81
1,26257,122016,91587,-0.2,-0.54,0.81
1,26258,122037,91585,-0.2,-0.54,0.8
1,26259,121984,91511,-0.2,-0.54,0.81
1,26260,121872,91567,-0.2,-0.54,0.81
1,26261,121981,91554,-0.2,-0.54,0.81
1,26262,122063,91626,-0.2,-0.54,0.81
1,26263,122139,91587,-0.2,-0.55,0.81
1,26264,122104,91626,-0.2,-0.55,0.81
1,26265,122173,91623,-0.2,-0.54,0.8
1,26266,122213,91662,-0.2,-0.54,0.8
1,26267,122322,91651,-0.2,-0.54,0.8
1,26268,122400,91712,-0.2,-0.54,0.81
1,26269,122462,91767,-0.2,-0.54,0.81
1,26270,122471,91752,-0.2,-0.55,0.81
1,26271,122569,91773,-0.2,-0.54,0.81
1,26272,122694,91801,-0.2,-0.54,0.81
1,26273,122780,91812,-0.2,-0.54,0.81
1,26274,122826,91812,-0.2,-0.55,0.81
1,26275,122900,91874,-0.2,-0.54,0.81
1,26276,123004,91887,-0.2,-0.54,0.8
1,26277,123109,91897,-0.21,-0.54,0.81
1,26278,122640,91687,-0.2,-0.54,0.8
1,26279,122030,91563,-0.2,-0.55,0.81
1,26280,121970,91600,-0.2,-0.54,0.8
1,26281,122001,91549,-0.2,-0.54,0.81
1,26282,121901,91513,-0.2,-0.55,0.8
1,26283,121875,91487,-0.19,-0.54,0.8
1,26284,121911,91594,-0.2,-0.54,0.81
1,26285,122065,91548,-0.2,-0.54,0.81
1,26286,122019,91589,-0.2,-0.55,0.81
1,26287,122069,91570,-0.2,-0.55,0.81
1,26288,122087,91600,-0.2,-0.54,0.81
1,26289,122162,91615,-0.2,-0.54,0.81
1,26290,122202,91666,-0.2,-0.54,0.81
1,26291,122340,91635,-0.19,-0.54,0.8
1,26292,122307,91651,-0.2,-0.55,0.81
1,26293,122343,91667,-0.2,-0.55,0.8
1,26294,122409,91701,-0.2,-0.55,0.81
1,26295,122525,91698,-0.2,-0.55,0.81
1,26296,122529,91753,-0.2,-0.55,0.8
1,26297,122632,91743,-0.2,-0.54,0.81
1,26298,122697,91769,-0.19,-0.54,0.8
1,26299,122803,91843,-0.2,-0.54,0.81
1,26300,121819,91517,-0.2,-0.55,0.8
1,26301,121829,91489,-0.2,-0.54,0.81
1,26302,121807,91436,-0.2,-0.55,0.81
1,26303,121719,91474,-0.19,-0.55,0.81
1,26304,121821,91452,-0.19,-0.55,0.81
1,26305,121927,91538,-0.19,-0.54,0.81
