SEQ,IR1,RED1,IR2,RED2,IR3,RED3,IR4,RED4
454,4781,4302,116908,91746,262143,262143,262143,262143
455,4759,4291,116943,91688,262143,262143,262143,262143
456,4737,4297,116969,91781,262143,262143,262143,262143
457,4709,4306,116997,91746,262143,262143,262143,262143
458,4739,4310,117005,91796,262143,262143,262143,262143
459,4739,4328,117069,91747,262143,262143,262143,262143
460,4749,4305,117124,91757,262143,262143,262143,262143
461,4729,4346,117137,91819,262143,262143,262143,262143
462,4741,4292,117232,91821,262143,262143,262143,262143
463,4731,4325,117316,91844,262143,262143,262143,262143
464,4747,4267,117336,91877,262143,262143,262143,262143
465,4725,4320,117415,91883,262143,262143,262143,262143
466,4758,4274,117439,91912,262143,262143,262143,262143
467,4721,4306,117420,91824,262143,262143,262143,262143
468,4722,4279,117164,91738,262143,262143,262143,262143
469,4745,4296,117091,91740,262143,262143,262143,262143
470,4681,4307,116993,91765,262143,262143,262143,262143
471,4746,4261,117021,91697,262143,262143,262143,262143
472,4744,4297,116979,91757,262143,262143,262143,262143
473,4711,4337,116996,91709,262143,262143,262143,262143
474,4734,4308,117025,91765,262143,262143,262143,262143
475,4725,4313,117035,91753,262143,262143,262143,262143
476,4745,4290,117073,91760,262143,262143,262143,262143
477,4737,4288,117159,91751,262143,262143,262143,262143
478,4743,4300,117165,91758,262143,262143,262143,262143
479,4740,4338,117234,91798,262143,262143,262143,262143
480,4736,4270,117240,91834,262143,262143,262143,262143
481,4752,4314,117327,91850,262143,262143,262143,262143
482,4728,4299,117385,91809,262143,262143,262143,262143
483,4698,4287,117423,91858,262143,262143,262143,262143
484,4750,4292,117515,91856,262143,262143,262143,262143
485,4704,4299,117385,91806,262143,262143,262143,262143
486,4756,4273,117179,91776,262143,262143,262143,262143
487,4727,4302,117104,91709,262143,262143,262143,262143
488,4735,4287,117062,91754,262143,262143,262143,262143
489,4757,4308,117043,91686,262143,262143,262143,262143
490,4731,4301,117082,91712,262143,262143,262143,262143
491,4710,4295,117070,91764,262143,262143,262143,262143
492,4730,4315,117102,91750,262143,262143,262143,262143
493,4733,4327,117147,91711,262143,262143,262143,262143
494,4765,4283,117190,91798,262143,262143,262143,262143
495,4716,4295,117222,91768,262143,262143,262143,262143
496,4749,4302,117300,91804,262143,262143,262143,262143
497,4701,4308,117313,91826,262143,262143,262143,262143
498,4725,4283,117322,91847,262143,262143,262143,262143
499,4727,4271,117410,91823,262143,262143,262143,262143
500,4736,4286,117550,91818,262143,262143,262143,262143
501,4685,4305,117380,91716,262143,262143,262143,262143
502,4760,4281,117169,91715,262143,262143,262143,262143
503,4694,4297,117154,91747,262143,262143,262143,262143
504,4740,4275,117169,91688,262143,262143,262143,262143
505,4722,4327,117123,91727,262143,262143,262143,262143
506,4732,4288,117129,91763,262143,262143,262143,262143
507,4747,4327,117151,91726,262143,262143,262143,262143
508,4733,4282,117203,91759,262143,262143,262143,262143
509,4739,4287,117235,91761,262143,262143,262143,262143
510,4756,4282,117227,91790,262143,262143,262143,262143
511,4691,4285,117304,91752,262143,262143,262143,262143
512,4712,4266,117307,91784,262143,262143,262143,262143
513,4718,4294,117369,91847,262143,262143,262143,262143
514,4706,4256,117426,91809,262143,262143,262143,262143
515,4697,4321,117433,91845,262143,262143,262143,262143
516,4724,4259,117540,91890,262143,262143,262143,262143
517,4728,4323,117473,91800,262143,262143,262143,262143
518,4724,4259,117216,91727,262143,262143,262143,262143
519,4754,4291,117118,91745,262143,262143,262143,262143
520,4688,4299,117120,91708,262143,262143,262143,262143
521,4727,4301,117080,91693,262143,262143,262143,262143
522,4760,4317,117140,91696,262143,262143,262143,262143
523,4729,4282,117114,91736,262143,262143,262143,262143
524,4754,4299,117106,91724,262143,262143,262143,262143
525,4758,4263,117153,91738,262143,262143,262143,262143
526,4714,4294,117206,91763,262143,262143,262143,262143
527,4701,4259,117241,91778,262143,262143,262143,262143
